scoreThreshold;bulletSpawnChance;crashSpawnChance;dashSpawnChance;bulletSpeed;crashSpeed;dashSpeed;multiSpawnChance1;multiSpawnChance2;multiSpawnChance3;minSpawnTime ;maxSpawnTime
0;0.8;0.05;0.15;3;3;2;0;0.4;0.6;1.5;2.5
3;0.75;0.1;0.15;3.2;3;2.2;0;0.35;0.65;1.4;2.4
7;0.65;0.15;0.2;3.4;2.9;2.4;0;0.3;0.7;1.3;2.3
10;0.5;0.20;0.3;3.6;2.8;2.6;0;0.25;0.75;1.2;2.2
15;0.35;0.25;0.4;3.8;2.7;2.8;0;0.2;0.8;1.1;2.1
20;0.30;0.30;0.4;4;2.6;3;0;0.15;0.85;1.0;2.0
30;0.30;0.30;0.4;4.2;2.5;3.2;0;0.1;0.9;1.0;1.9
40;0.30;0.30;0.4;4.4;2.4;3.4;0;0.05;0.95;1.0;1.8
50;0.30;0.30;0.4;4.6;2.3;3.6;0;0;1;1.0;1.7
70;0.30;0.30;0.4;4.8;2.2;3.8;0;0;1;1.0;1.6
90;0.30;0.30;0.4;5;2.1;4;0;0;1;1.0;1.5
120;0.30;0.30;0.4;5.2;2.0;4.2;0;0;1;1.0;1.4
150;0.30;0.30;0.4;5.4;1.9;4.4;0;0;1;1.0;1.3
200;0.30;0.30;0.4;6;1.8;5;0;0;1;1.0;1.2
